spot_id,occupied_at,vacated_at
B3,2024-11-13 09:45,2024-11-13 17:19
B3,2024-11-13 00:08,2024-11-13 09:35
B3,2024-11-13 19:38,2024-11-13 23:59
B3,2024-11-13 06:26,2024-11-13 10:07
B3,2024-11-13 23:16,2024-11-13 23:59
B3,2024-11-13 00:38,2024-11-13 12:00
B3,2024-11-13 16:45,2024-11-13 23:59
B3,2024-11-14 12:00,2024-11-14 20:12
B3,2024-11-14 17:21,2024-11-14 23:59
B3,2024-11-14 15:46,2024-11-14 23:23
B3,2024-11-14 19:49,2024-11-14 21:50
B3,2024-11-14 14:47,2024-11-14 16:54
B3,2024-11-14 13:16,2024-11-14 16:16
B3,2024-11-15 01:32,2024-11-15 06:26
B3,2024-11-15 17:25,2024-11-15 18:11
B3,2024-11-15 03:00,2024-11-15 06:39
B3,2024-11-15 01:16,2024-11-15 10:03
B3,2024-11-15 10:30,2024-11-15 19:45
B3,2024-11-15 22:57,2024-11-15 23:59
B3,2024-11-15 16:31,2024-11-15 19:31
B3,2024-11-15 06:00,2024-11-15 09:17
B3,2024-11-15 14:21,2024-11-15 20:54
B3,2024-11-15 08:23,2024-11-15 15:30
B3,2024-11-16 15:37,2024-11-16 18:40
B3,2024-11-16 02:02,2024-11-16 02:41
B3,2024-11-16 00:14,2024-11-16 03:36
B3,2024-11-16 06:05,2024-11-16 17:34
B3,2024-11-16 04:12,2024-11-16 07:59
B3,2024-11-16 01:00,2024-11-16 10:44
B3,2024-11-16 01:58,2024-11-16 03:11
B3,2024-11-17 03:20,2024-11-17 04:04
B3,2024-11-17 21:31,2024-11-17 23:59
B3,2024-11-17 03:04,2024-11-17 07:53
B3,2024-11-17 16:56,2024-11-17 23:59
B3,2024-11-17 14:40,2024-11-17 16:15
B3,2024-11-17 02:16,2024-11-17 08:07
B3,2024-11-17 18:04,2024-11-17 23:59
B3,2024-11-17 05:03,2024-11-17 15:03
B3,2024-11-18 07:37,2024-11-18 14:40
B3,2024-11-18 08:31,2024-11-18 09:53
B3,2024-11-18 20:15,2024-11-18 21:40
B3,2024-11-18 15:01,2024-11-18 22:12
B3,2024-11-18 10:15,2024-11-18 11:35
B3,2024-11-18 17:22,2024-11-18 19:48
B3,2024-11-18 13:58,2024-11-18 15:17
B3,2024-11-18 02:51,2024-11-18 08:48
B3,2024-11-18 03:28,2024-11-18 08:21
B3,2024-11-19 03:38,2024-11-19 06:49
B3,2024-11-19 10:23,2024-11-19 20:08
B3,2024-11-19 03:04,2024-11-19 13:00
B3,2024-11-19 02:48,2024-11-19 12:36
B3,2024-11-19 16:16,2024-11-19 18:01
B3,2024-11-19 07:40,2024-11-19 19:04
B3,2024-11-19 14:08,2024-11-19 16:47
B3,2024-11-19 03:23,2024-11-19 06:14
B3,2024-11-19 15:33,2024-11-19 23:59
B3,2024-11-19 02:03,2024-11-19 06:18
B3,2024-11-20 22:37,2024-11-20 23:59
B3,2024-11-20 23:28,2024-11-20 23:59
B3,2024-11-20 05:44,2024-11-20 15:51
B3,2024-11-20 03:17,2024-11-20 11:58
B3,2024-11-20 15:15,2024-11-20 20:49
